uuid,name,brand,street,house_number,post_code,city,latitude,longitude
51c2b0c0-6759-4f0f-b2f6-ee6f738bf042,Shell Frankfurt Am Main Hanauer Landstr. 334,Shell,Hanauer Landstr.,334,60314,Frankfurt Am Main,50.122913,8.742244
c3a5fc7f-9baf-4166-86d9-1a3f703a4b9b,Aral Tankstelle,ARAL,Friedberger Landstr.,325,60389,Frankfurt,50.14038,8.698532
c0ae896c-a64e-4190-aab9-1ebf1907d85f,Frankfurt,Mr. Wash Autoservice AG,Hanauer Landstraße,419,60314,Frankfurt,50.12093,8.73524
51d4b476-a095-1aa0-e100-80009459e03a,JET FRANKFURT BORSIGALLEE 29,JET,BORSIGALLEE,29,60388,Frankfurt,50.13837,8.74441
51d4b557-a095-1aa0-e100-80009459e03a,Supermarkt-Tankstelle FRANKFURT GUERICKESTRASSE 8,Supermarkt-Tankstelle,GUERICKESTRASSE,8,60488,Frankfurt,50.13471,8.59955
cb35439c-054b-4d15-859a-78ca2c86527a,Shell Frankfurt Am Main Westerbachstr. 204,Shell,Westerbachstr.,204,65936,Frankfurt Am Main,50.123828,8.579363
51d4b5a2-a095-1aa0-e100-80009459e03a,Supermarkt-Tankstelle FRANKFURT AM RIEDERBRUCH 10,Supermarkt-Tankstelle,AM RIEDERBRUCH,10,60386,Frankfurt,50.12297,8.72942
cfc9d4c5-b13a-47c3-aebc-feb4a7288598,Aral Tankstelle,ARAL,Ludwig-Landmann-Straße,90,60488,Frankfurt,50.1414452,8.609893
d2ec4d86-cd83-40a7-adc7-667fd46e3401,Shell Frankfurt Am Main Bolongarostr. 63,Shell,Bolongarostr.,63,65934,Frankfurt Am Main,50.102217,8.557584
daf67280-25bc-44c2-a114-ec8d2e22cb72,Tankcenter Frankfurt,Tankcenter,Vilbeler Landstr. ,96,60388,Frankfurt,50.144322,8.752962
2fdeef9e-36ca-44d7-9ee4-3bdaa0112539,TotalEnergies Frankfurt,TotalEnergies,Eckenheimer Landstr. ,181,60320,Frankfurt,50.13218,8.683576
e1a15081-25b3-9107-e040-0b0a3dfe563c,"Frankfurt, Vilbeler Landstr. 237-239",HEM,Vilbeler Landstr.,237-239,60388,Frankfurt,50.15610555,8.74608333
e8e2a14f-4bac-4b14-b8e8-b7b6347ffb56,Shell Frankfurt Am Main Eschersheimer Landstr. 328,Shell,Eschersheimer Landstr.,328,60320,Frankfurt Am Main,50.144009,8.668844
f0cc24c3-eb5d-46f3-a27e-14342843ffa8,Aral Tankstelle,ARAL,Berliner Chaussee,22,15234,Frankfurt,52.36517,14.5223789
fca0e6f3-9a11-4ba1-ba46-55661136c793,Aral Tankstelle,ARAL,Homburger Landstraße,42,60435,Frankfurt,50.14298,8.696452
bb61c295-7480-465c-988f-334dfaf96ab0,Shell Frankfurt Am Main Niederraeder Ufer 51,Shell,Niederraeder Ufer,51,60528,Frankfurt Am Main,50.088542,8.635852
